spec_index,tb,vm_298K,C_number,H_number,S_number,N_number,O_number,mw,aromatic_ring_number,naphthenic_ring_number,thiophene_ring_number,total_ring_number,cetane_number_Beta,cetane_number,tm,gasoline_piona_type
292,673.8490954,440,26,52,0,0,0,364.69108,0,1,0,1,0.0727,90,314.6538043,4
293,682.7228243,456.5,27,54,0,0,0,378.71766,0,1,0,1,0.0727,90,319.3750161,4
294,691.2857633,473,28,56,0,0,0,392.74424,0,1,0,1,0.0727,90,323.9459045,4
295,699.5589479,489.5,29,58,0,0,0,406.77082,0,1,0,1,0.0727,90,328.3757475,4
296,517.4593916,224.9,13,26,0,0,0,182.34554,0,1,0,1,0.0727,78.5,238.5560238,4
297,534.0168134,241.4,14,28,0,0,0,196.37212,0,1,0,1,0.0727,83.7,246.4875114,4
298,549.5238043,257.9,15,30,0,0,0,210.3987,0,1,0,1,0.0727,90,254.0036724,4
299,564.1057325,274.4,16,32,0,0,0,224.42528,0,1,0,1,0.0727,90,261.1458473,4
300,577.8667805,290.9,17,34,0,0,0,238.45186,0,1,0,1,0.0727,90,267.9494962,4
301,590.8944653,307.4,18,36,0,0,0,252.47844,0,1,0,1,0.0727,90,274.445263,4
302,603.2630137,323.9,19,38,0,0,0,266.50502,0,1,0,1,0.0727,90,280.6598104,4
303,615.0359238,340.4,20,40,0,0,0,280.5316,0,1,0,1,0.0727,90,286.6164808,4
304,626.2679385,356.9,21,42,0,0,0,294.55818,0,1,0,1,0.0727,90,292.3358258,4
305,637.006584,373.4,22,44,0,0,0,308.58476,0,1,0,1,0.0727,90,297.8360341,4
306,647.2933855,389.9,23,46,0,0,0,322.61134,0,1,0,1,0.0727,90,303.1332804,4
307,657.1648366,406.4,24,48,0,0,0,336.63792,0,1,0,1,0.0727,90,308.2420119,4
308,666.6531807,422.9,25,50,0,0,0,350.6645,0,1,0,1,0.0727,90,313.1751863,4
309,675.7870469,439.4,26,52,0,0,0,364.69108,0,1,0,1,0.0727,90,317.9444697,4
310,684.5919699,455.9,27,54,0,0,0,378.71766,0,1,0,1,0.0727,90,322.5604024,4
311,693.0908214,472.4,28,56,0,0,0,392.74424,0,1,0,1,0.0727,90,327.0325395,4
312,701.3041675,488.9,29,58,0,0,0,406.77082,0,1,0,1,0.0727,90,331.3695702,4
313,476.1143381,170.3,11,20,0,0,0,152.2765,0,2,0,2,0.0727,40,231.7583146,4
314,495.6034313,186.8,12,22,0,0,0,166.30308,0,2,0,2,0.0727,35,240.0634544,4
315,513.6531715,203.3,13,24,0,0,0,180.32966,0,2,0,2,0.0727,35,247.9143245,4
316,530.4616194,219.8,14,26,0,0,0,194.35624,0,2,0,2,0.0727,30.6,255.3580531,4
317,546.1885734,236.3,15,28,0,0,0,208.38282,0,2,0,2,0.0727,30.6,262.4347946,4
318,560.9648317,252.8,16,30,0,0,0,222.4094,0,2,0,2,0.0727,30.6,269.1790411,4
319,574.8988107,269.3,17,32,0,0,0,236.43598,0,2,0,2,0.0727,30.6,275.6206395,4
320,588.0813776,285.8,18,34,0,0,0,250.46256,0,2,0,2,0.0727,30.6,281.7855901,4
321,600.5894448,302.3,19,36,0,0,0,264.48914,0,2,0,2,0.0727,30.6,287.6966798,4
322,612.4886884,318.8,20,38,0,0,0,278.51572,0,2,0,2,0.0727,30.6,293.3739915,4
323,623.8356358,335.3,21,40,0,0,0,292.5423,0,2,0,2,0.0727,30.6,298.8353153,4
324,634.6792902,351.8,22,42,0,0,0,306.56888,0,2,0,2,0.0727,30.6,304.0964846,4
325,645.0624087,368.3,23,44,0,0,0,320.59546,0,2,0,2,0.0727,30.6,309.1716534,4
326,655.0225212,384.8,24,46,0,0,0,334.62204,0,2,0,2,0.0727,30.6,314.0735254,4
327,664.5927491,401.3,25,48,0,0,0,348.64862,0,2,0,2,0.0727,30.6,318.8135457,4
328,673.8024699,417.8,26,50,0,0,0,362.6752,0,2,0,2,0.0727,30.6,323.4020616,4
